Eval num_timesteps=24992, episode_reward=-126.63 +/- 49.80
Eval num_timesteps=49984, episode_reward=-81.78 +/- 10.96
Eval num_timesteps=74976, episode_reward=-95.19 +/- 83.25
Eval num_timesteps=99968, episode_reward=-146.74 +/- 79.71
Eval num_timesteps=124960, episode_reward=-196.68 +/- 85.98
Eval num_timesteps=149952, episode_reward=-75.65 +/- 35.67
Eval num_timesteps=174944, episode_reward=-27.27 +/- 50.60
Eval num_timesteps=199936, episode_reward=1.24 +/- 115.55
Eval num_timesteps=224928, episode_reward=43.66 +/- 66.71
Eval num_timesteps=249920, episode_reward=138.62 +/- 148.63
Eval num_timesteps=274912, episode_reward=245.78 +/- 51.95
Eval num_timesteps=299904, episode_reward=275.34 +/- 26.79
Eval num_timesteps=324896, episode_reward=217.36 +/- 111.21
Eval num_timesteps=349888, episode_reward=204.02 +/- 100.78
Eval num_timesteps=374880, episode_reward=153.58 +/- 123.53
Eval num_timesteps=399872, episode_reward=185.67 +/- 106.70
Eval num_timesteps=424864, episode_reward=198.64 +/- 118.90
Eval num_timesteps=449856, episode_reward=260.28 +/- 41.53
Eval num_timesteps=474848, episode_reward=208.21 +/- 48.09
Eval num_timesteps=499840, episode_reward=138.65 +/- 143.64
Eval num_timesteps=524832, episode_reward=222.06 +/- 54.05
Eval num_timesteps=549824, episode_reward=237.24 +/- 35.27
Eval num_timesteps=574816, episode_reward=260.04 +/- 23.87
Eval num_timesteps=599808, episode_reward=179.30 +/- 129.86
Eval num_timesteps=624800, episode_reward=271.11 +/- 13.95
Eval num_timesteps=649792, episode_reward=256.97 +/- 25.98
Eval num_timesteps=674784, episode_reward=285.26 +/- 17.41
Eval num_timesteps=699776, episode_reward=216.79 +/- 82.29
Eval num_timesteps=724768, episode_reward=209.35 +/- 79.42
Eval num_timesteps=749760, episode_reward=172.84 +/- 112.20
Eval num_timesteps=774752, episode_reward=177.42 +/- 108.60
Eval num_timesteps=799744, episode_reward=197.37 +/- 81.06
Eval num_timesteps=824736, episode_reward=260.14 +/- 16.89
Eval num_timesteps=849728, episode_reward=271.99 +/- 16.74
Eval num_timesteps=874720, episode_reward=273.49 +/- 18.02
Eval num_timesteps=899712, episode_reward=254.58 +/- 28.33
Eval num_timesteps=924704, episode_reward=266.96 +/- 14.51
Eval num_timesteps=949696, episode_reward=273.05 +/- 18.87
Eval num_timesteps=974688, episode_reward=276.05 +/- 22.55
Eval num_timesteps=999680, episode_reward=234.66 +/- 94.39
